player,2020_pos,2020_age,team_id,2020_g,2020_gs,2020_mp_per_g,2020_fg_per_g,2020_fga_per_g,2020_fg_pct,2020_fg3_per_g,2020_fg3a_per_g,2020_fg3_pct,2020_fg2_per_g,2020_fg2a_per_g,2020_fg2_pct,2020_efg_pct,2020_ft_per_g,2020_fta_per_g,2020_ft_pct,2020_orb_per_g,2020_drb_per_g,2020_trb_per_g,2020_ast_per_g,2020_stl_per_g,2020_blk_per_g,2020_tov_per_g,2020_pf_per_g,2020_pts_per_g,player_id,2021_pos,2021_age,2021_g,2021_gs,2021_mp_per_g,2021_fg_per_g,2021_fga_per_g,2021_fg_pct,2021_fg3_per_g,2021_fg3a_per_g,2021_fg3_pct,2021_fg2_per_g,2021_fg2a_per_g,2021_fg2_pct,2021_efg_pct,2021_ft_per_g,2021_fta_per_g,2021_ft_pct,2021_orb_per_g,2021_drb_per_g,2021_trb_per_g,2021_ast_per_g,2021_stl_per_g,2021_blk_per_g,2021_tov_per_g,2021_pf_per_g,2021_pts_per_g,2020_mp,2020_per,2020_ts_pct,2020_fg3a_per_fga_pct,2020_fta_per_fga_pct,2020_orb_pct,2020_drb_pct,2020_trb_pct,2020_ast_pct,2020_stl_pct,2020_blk_pct,2020_tov_pct,2020_usg_pct,2020_ws-dum,2020_ows,2020_dws,2020_ws,2020_ws_per_48,2020_bpm-dum,2020_obpm,2020_dbpm,2020_bpm,2020_vorp,2021_mp,2021_per,2021_ts_pct,2021_fg3a_per_fga_pct,2021_fta_per_fga_pct,2021_orb_pct,2021_drb_pct,2021_trb_pct,2021_ast_pct,2021_stl_pct,2021_blk_pct,2021_tov_pct,2021_usg_pct,2021_ws-dum,2021_ows,2021_dws,2021_ws,2021_ws_per_48,2021_bpm-dum,2021_obpm,2021_dbpm,2021_bpm,2021_vorp,2020_salary,2021_salary,img_link
Steven Adams,C,26,NOP,63,63,26.7,4.5,7.6,.592,0.0,0.0,.333,4.5,7.5,.594,.593,1.9,3.2,.582,3.3,6.0,9.3,2.3,0.8,1.1,1.5,1.9,10.9,adamsst01,C,27,37,37,27.4,3.5,5.6,.627,0.0,0.1,.000,3.5,5.6,.633,.627,1.1,2.3,.459,4.0,5.1,9.1,2.0,0.9,0.5,1.5,1.9,8.1,1680,20.5,.604,.006,.421,14.0,24.0,19.2,13.2,1.5,3.4,14.2,17.3,,3.8,2.7,6.5,.185,,1.9,1.1,2.9,2.1,1012,16.3,.611,.010,.407,16.3,20.7,18.5,9.7,1.6,2.0,18.8,12.7,,1.7,0.7,2.5,.116,,0.3,-0.9,-0.6,0.4,25842697,27528090,https://www.2kratings.com/wp-content/uploads/Steven-Adams-2K-Rating.png
Bam Adebayo,PF,22,MIA,72,72,33.6,6.1,11.0,.557,0.0,0.2,.143,6.1,10.8,.564,.558,3.7,5.3,.691,2.4,7.8,10.2,5.1,1.1,1.3,2.8,2.5,15.9,adebaba01,C,23,34,34,33.8,7.1,12.7,.559,0.1,0.2,.333,7.1,12.6,.562,.561,4.8,5.6,.844,2.3,7.1,9.5,5.4,0.9,1.1,2.9,2.4,19.1,2417,20.3,.598,.018,.484,8.5,24.9,17.0,24.2,1.7,3.8,17.6,21.2,,4.6,3.9,8.5,.168,,1.4,2.0,3.4,3.3,1149,22.0,.626,.014,.443,8.1,22.5,15.7,27.6,1.2,3.3,16.2,24.1,,2.8,1.9,4.6,.194,,2.6,1.7,4.3,1.8,3454080,5115492,https://www.2kratings.com/wp-content/uploads/Bam-Adebayo-2K-Rating.png
LaMarcus Aldridge,C,34,SAS,53,53,33.1,7.4,15.0,.493,1.2,3.0,.389,6.2,12.0,.519,.532,3.0,3.6,.827,1.9,5.5,7.4,2.4,0.7,1.6,1.4,2.4,18.9,aldrila01,C,35,21,18,25.9,5.5,11.8,.464,1.3,3.6,.360,4.2,8.2,.509,.518,1.5,1.8,.838,0.8,3.7,4.5,1.7,0.4,0.9,1.0,1.7,13.7,1754,19.7,.571,.198,.241,6.3,17.8,12.0,11.4,1.0,4.4,7.8,23.4,,3.0,1.4,4.5,.122,,1.8,-0.5,1.4,1.5,544,15.0,.545,.302,.149,3.2,15.1,9.1,10.2,0.7,2.9,7.0,22.7,,0.3,0.6,0.9,.075,,-0.2,-1.0,-1.2,0.1,26000000,24000000,https://www.2kratings.com/wp-content/uploads/LaMarcus-Aldridge-2K-Rating.png
Kyle Alexander,C,23,MIA,2,0,6.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,1.0,0.5,1.5,0.0,0.0,0.0,0.5,0.5,1.0,alexaky01,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,4.7,.500,.000,.000,17.9,8.3,12.9,0.0,0.0,0.0,33.3,10.2,,0.0,0.0,0.0,-0.003,,-6.1,-3.5,-9.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/req/202101021/images/players/alexaky01.jpg
Nickeil Alexander-Walker,SG,21,NOP,47,1,12.6,2.1,5.7,.368,1.0,2.8,.346,1.1,2.8,.391,.455,0.5,0.8,.676,0.2,1.6,1.8,1.9,0.4,0.2,1.1,1.2,5.7,alexani01,SG,22,32,3,17.9,3.3,7.8,.416,1.2,3.6,.328,2.1,4.2,.493,.492,1.0,1.2,.816,0.2,2.4,2.6,1.9,0.9,0.3,1.3,1.6,8.7,591,8.9,.473,.500,.139,1.6,13.5,7.5,21.1,1.3,1.1,16.1,23.3,,-0.7,0.4,-0.2,-0.020,,-3.2,-1.4,-4.6,-0.4,573,12.6,.519,.464,.152,1.2,15.2,8.2,14.9,2.5,1.9,13.0,22.7,,-0.1,0.5,0.4,.032,,-1.9,0.1,-1.8,0.0,2964840,3113160,https://www.2kratings.com/wp-content/uploads/Nickeil-Alexander-Walker-2K-Rating.png
Grayson Allen,SG,24,MEM,38,0,18.9,3.1,6.6,.466,1.5,3.7,.404,1.6,2.9,.545,.580,1.0,1.2,.867,0.2,2.0,2.2,1.4,0.3,0.1,0.9,1.4,8.7,allengr01,SG,25,24,12,23.9,3.0,7.2,.413,2.0,4.9,.407,1.0,2.3,.426,.552,1.6,1.8,.907,0.3,2.5,2.8,2.3,1.0,0.1,1.0,1.3,9.5,718,12.0,.609,.562,.179,1.2,11.1,6.2,10.0,0.7,0.2,10.9,17.6,,0.8,0.4,1.2,.082,,-0.1,-1.2,-1.3,0.1,574,13.0,.600,.686,.250,1.5,11.6,6.3,12.3,2.1,0.5,10.8,15.7,,0.7,0.6,1.3,.113,,-0.2,0.5,0.3,0.3,2429400,2545320,https://www.2kratings.com/wp-content/uploads/Grayson-Allen-2K-Rating.png
Jarrett Allen,C,21,TOT,70,64,26.5,4.3,6.6,.649,0.0,0.1,.000,4.3,6.6,.658,.649,2.4,3.9,.633,3.1,6.5,9.6,1.6,0.6,1.3,1.1,2.3,11.1,allenja01,C,22,38,20,28.0,4.7,7.2,.655,0.1,0.2,.444,4.6,7.0,.662,.662,3.4,4.7,.717,3.1,6.7,9.8,1.7,0.4,1.7,1.4,1.6,13.0,1852,20.7,.664,.013,.581,12.3,24.9,18.7,8.9,1.0,4.2,11.7,14.9,,5.2,2.9,8.2,.212,,1.4,1.0,2.3,2.0,1065,22.7,.696,.033,.655,12.5,27.0,19.7,9.1,0.8,5.4,13.4,16.7,,3.3,1.3,4.6,.208,,2.6,0.2,2.8,1.3,2376840,3909902,https://www.2kratings.com/wp-content/uploads/Jarrett-Allen-2K-Rating.png
Kadeem Allen,PG,27,NYK,10,0,11.7,1.9,4.4,.432,0.5,1.6,.313,1.4,2.8,.500,.489,0.7,1.1,.636,0.2,0.7,0.9,2.1,0.5,0.2,0.8,0.7,5.0,allenka01,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,14.0,.512,.364,.250,1.8,6.6,4.1,27.0,2.1,1.6,14.1,20.6,,0.1,0.1,0.1,.053,,-0.1,-0.6,-0.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/req/202101021/images/players/allenka01.jpg
Al-Farouq Aminu,PF,29,ORL,18,2,21.1,1.4,4.8,.291,0.5,2.0,.250,0.9,2.8,.320,.343,1.1,1.6,.655,1.3,3.5,4.8,1.2,1.0,0.4,0.9,1.5,4.3,aminual01,PF,30,12,9,19.5,1.6,4.6,.345,0.5,1.7,.300,1.1,2.9,.371,.400,0.8,0.9,.818,1.1,3.3,4.4,1.4,1.0,0.4,1.3,1.3,4.4,380,7.6,.395,.419,.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,,-0.4,0.5,0.1,.014,,-4.4,1.4,-3.0,-0.1,234,8.2,.443,.364,.200,5.6,18.3,11.8,10.1,2.5,2.0,21.1,13.9,,-0.3,0.3,0.0,.004,,-5.3,0.4,-5.0,-0.2,9258000,9720900,https://www.2kratings.com/wp-content/uploads/Al-Farouq-Aminu-2K-Rating.png
Justin Anderson,SG,26,BRK,10,1,10.7,1.0,3.8,.263,0.6,2.9,.207,0.4,0.9,.444,.342,0.2,0.4,.500,0.1,2.0,2.1,0.8,0.0,0.6,0.4,1.3,2.8,anderju01,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,3.2,.352,.763,.105,1.0,18.9,10.2,10.1,0.0,4.7,9.1,17.1,,-0.2,0.1,-0.1,-0.054,,-6.8,-0.9,-7.7,-0.2,,,,,,,,,,,,,,,,,,,,,,,,98144,125000,https://www.2kratings.com/wp-content/uploads/Justin-Anderson-2K-Rating.png
