player,2020_pos,2020_age,team_id,2020_g,2020_mp,2020_per,2020_ts_pct,2020_fg3a_per_fga_pct,2020_fta_per_fga_pct,2020_orb_pct,2020_drb_pct,2020_trb_pct,2020_ast_pct,2020_stl_pct,2020_blk_pct,2020_tov_pct,2020_usg_pct,2020_ws-dum,2020_ows,2020_dws,2020_ws,2020_ws_per_48,2020_bpm-dum,2020_obpm,2020_dbpm,2020_bpm,2020_vorp,player_id,2021_pos,2021_age,2021_g,2021_mp,2021_per,2021_ts_pct,2021_fg3a_per_fga_pct,2021_fta_per_fga_pct,2021_orb_pct,2021_drb_pct,2021_trb_pct,2021_ast_pct,2021_stl_pct,2021_blk_pct,2021_tov_pct,2021_usg_pct,2021_ws-dum,2021_ows,2021_dws,2021_ws,2021_ws_per_48,2021_bpm-dum,2021_obpm,2021_dbpm,2021_bpm,2021_vorp,2020_salary,2021_salary,img_link,2021_preseason_salary
Steven Adams,C,26,OKC,63,1680,20.5,.604,.006,.421,14.0,24.0,19.2,13.2,1.5,3.4,14.2,17.3,,3.8,2.7,6.5,.185,,1.9,1.1,2.9,2.1,adamsst01,C,27,10,309,18.3,.658,.000,.433,11.3,19.2,15.3,13.7,2.2,3.4,20.0,13.8,,0.5,0.5,1.0,.161,,0.6,1.4,2.0,0.3,25842697,27528090,https://www.2kratings.com/wp-content/uploads/Steven-Adams-2K-Rating.png,27528090
Bam Adebayo,PF,22,MIA,72,2417,20.3,.598,.018,.484,8.5,24.9,17.0,24.2,1.7,3.8,17.6,21.2,,4.6,3.9,8.5,.168,,1.4,2.0,3.4,3.3,adebaba01,C,23,8,243,22.1,.693,.000,.543,4.4,26.3,16.1,26.9,1.6,3.2,21.2,22.8,,0.6,0.4,1.0,.197,,1.6,3.0,4.6,0.4,3454080,5115492,https://www.2kratings.com/wp-content/uploads/Bam-Adebayo-2K-Rating.png,5115492
LaMarcus Aldridge,C,34,SAS,53,1754,19.7,.571,.198,.241,6.3,17.8,12.0,11.4,1.0,4.4,7.8,23.4,,3.0,1.4,4.5,.122,,1.8,-0.5,1.4,1.5,aldrila01,C,35,8,235,13.9,.488,.283,.075,3.7,16.7,9.9,14.5,1.0,2.4,7.5,24.4,,-0.1,0.2,0.1,.029,,-1.6,-0.7,-2.3,0.0,26000000,24000000,https://www.2kratings.com/wp-content/uploads/LaMarcus-Aldridge-2K-Rating.png,24000000
Kyle Alexander,C,23,FA,2,13,4.7,.500,.000,.000,17.9,8.3,12.9,0.0,0.0,0.0,33.3,10.2,,0.0,0.0,0.0,-0.003,,-6.1,-3.5,-9.6,0.0,alexaky01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/req/202101021/images/players/alexaky01.jpg,
Nickeil Alexander-Walker,SG,21,NOP,47,591,8.9,.473,.500,.139,1.6,13.5,7.5,21.1,1.3,1.1,16.1,23.3,,-0.7,0.4,-0.2,-0.020,,-3.2,-1.4,-4.6,-0.4,alexani01,SG,22,8,137,17.8,.571,.429,.104,1.6,14.4,8.0,14.7,2.5,0.8,11.0,28.3,,0.1,0.2,0.3,.106,,0.6,0.5,1.1,0.1,2964840,3113160,https://www.2kratings.com/wp-content/uploads/Nickeil-Alexander-Walker-2K-Rating.png,3113160
Grayson Allen,SG,24,MEM,38,718,12.0,.609,.562,.179,1.2,11.1,6.2,10.0,0.7,0.2,10.9,17.6,,0.8,0.4,1.2,.082,,-0.1,-1.2,-1.3,0.1,allengr01,SG,25,10,206,11.7,.548,.727,.291,3.0,8.3,5.6,10.9,2.6,1.3,12.7,14.6,,0.1,0.3,0.4,.095,,-1.6,0.5,-1.1,0.1,2429400,2545320,https://www.2kratings.com/wp-content/uploads/Grayson-Allen-2K-Rating.png,2545320
Jarrett Allen,C,21,BRK,70,1852,20.7,.664,.013,.581,12.3,24.9,18.7,8.9,1.0,4.2,11.7,14.9,,5.2,2.9,8.2,.212,,1.4,1.0,2.3,2.0,allenja01,C,22,12,320,21.5,.730,.000,.938,13.3,26.8,20.5,8.4,1.0,4.7,19.3,15.1,,1.0,0.5,1.6,.233,,1.3,0.6,1.9,0.3,2376840,3909902,https://www.2kratings.com/wp-content/uploads/Jarrett-Allen-2K-Rating.png,3909902
Kadeem Allen,PG,27,FA,10,117,14.0,.512,.364,.250,1.8,6.6,4.1,27.0,2.1,1.6,14.1,20.6,,0.1,0.1,0.1,.053,,-0.1,-0.6,-0.7,0.0,allenka01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/req/202101021/images/players/allenka01.jpg,
Al-Farouq Aminu,PF,29,ORL,18,380,7.6,.395,.419,.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,,-0.4,0.5,0.1,.014,,-4.4,1.4,-3.0,-0.1,aminual01,,,,,,,,,,,,,,,,,,,,,,,,,,,9258000,9720900,https://www.2kratings.com/wp-content/uploads/Al-Farouq-Aminu-2K-Rating.png,9720900
Justin Anderson,SG,26,FA,10,107,3.2,.352,.763,.105,1.0,18.9,10.2,10.1,0.0,4.7,9.1,17.1,,-0.2,0.1,-0.1,-0.054,,-6.8,-0.9,-7.7,-0.2,anderju01,,,,,,,,,,,,,,,,,,,,,,,,,,,98144,125000,https://www.2kratings.com/wp-content/uploads/Justin-Anderson-2K-Rating.png,
